"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","39/548","158/9418",0.246835443037975,4.24214635498475,10.2150482018471,4.48987608702413e-15,1.4322704717607e-12,1.32805808468819e-12,"PKMYT1/CDC25C/BUB1/CDK1/PLK1/BUB1B/CCNB2/NDC80/PTTG1/CCNB1/CDC20/CDCA5/CDC45/ESCO2/ESPL1/AURKB/CCNA2/CCNE2/TTK/E2F1/CDT1/MAD2L1/CDC6/TRIP13/E2F2/PCNA/MCM2/CDC7/CDC25A/MCM4/DBF4/CHEK1/ANAPC11/CDKN2D/CCNE1/E2F5/CDKN2A/GADD45G/SMC1B",39
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","27/548","170/9418",0.158823529411765,2.72956204379562,5.65615693150265,1.59764183120822e-06,0.000254823872077711,0.000236282818194478,"CRB3/LLGL2/TUBA1C/EZR/PCNA/DLG3/TJP3/CLDN7/PRKCZ/ARPC1B/MICALL2/CLDN14/MARVELD3/CLDN3/CGN/PARD6B/MARVELD2/CLDN4/CLDN9/TUBA3E/ERBB2/TUBA3C/TUBA3D/PPP2R2C/CD1A/CACNA1D/GATA4",27
"Cellular Processes","Cell motility","hsa04814","Motor proteins","28/548","194/9418",0.144329896907216,2.48047257129957,5.17876659515574,7.00407027293204e-06,0.000744766139021773,0.000690576753225931,"KIF4A/KIF20A/KIF18B/KIFC1/KIF2C/KIF14/TPM3/KIF23/KIF11/KIF15/TUBA1C/KIF26B/CENPE/KIF22/KIF18A/DNAH14/KIF24/KIF4B/TUBB3/KIFC2/TNNT1/TUBB8/TUBA3E/TNNI3/TUBA3C/TUBA3D/KIF1A/KIF12",28
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","34/548","298/9418",0.114093959731544,1.96083378239357,4.18932189591919,0.000119376177413666,0.00856241262581949,0.0079394091663266,"BMP8A/CCL11/INHBA/RELT/IL21R/TNFSF4/CXCL10/TNFRSF18/CXCL11/RELL2/CCR8/IL9R/TNFRSF9/IL11/TNFRSF4/TNFRSF12A/CXCL9/AMH/PRLR/OSM/IL12B/CCL7/GDF15/CXCL13/CCR4/LTA/IL19/IL20/LTB/CCL20/IL24/CXCR5/BMPR1B/CXCR3",34
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","20/548","138/9418",0.144927536231884,2.49074367925526,4.38483530897077,0.000134207094448581,0.00856241262581949,0.0079394091663266,"PKMYT1/CDC25C/BUB1/CDK1/PLK1/CCNB2/PTTG1/CCNB1/CDC20/AURKA/ESPL1/CCNE2/MAD2L1/FBXO43/MAPK13/PPP1CA/ANAPC11/CCNE1/SPDYC/SMC1B",20
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","9/548","36/9418",0.25,4.29653284671533,4.92544754216347,0.000163518183429466,0.00869371675233326,0.00806115956906665,"RNASEH2A/POLE2/FEN1/PCNA/MCM2/LIG1/DNA2/MCM4/RFC4",9
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","11/548","54/9418",0.203703703703704,3.50087861584212,4.58082335600335,0.000227103538920645,0.0103494327022408,0.0095964051784513,"UBE2T/RAD51/FANCI/EME1/FANCD2/FANCA/BLM/RMI1/BRIP1/BRCA2/EME2",11
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","15/548","94/9418",0.159574468085106,2.74246777449915,4.21999857041962,0.000316339775650296,0.0121726159972955,0.0112869331636365,"MMP13/CCL11/MAPK13/TRAF2/MMP1/CXCL10/TRAF4/MMP9/IKBKE/MMP3/MAPK15/CCL7/CCL20/S100A7A/S100A7",15
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","13/548","75/9418",0.173333333333333,2.97892944038929,4.27663830305245,0.000343428037541253,0.0121726159972955,0.0112869331636365,"CDK1/RRM2/CCNB2/CCNB1/GTSE1/CCNE2/BAX/CHEK1/CCNE1/BBC3/CDKN2A/PMAIP1/GADD45G",13
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","11/548","59/9418",0.186440677966102,3.20419398738092,4.22129642642542,0.000509817320897119,0.0162631725366181,0.0150798597023253,"TK1/RRM2/DCTPP1/NME1/TYMS/DTYMK/TYMP/CANT1/NME3/NME1-NME2/ENTPD8",11
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","16/548","110/9418",0.145454545454545,2.49980092899801,3.93266115169199,0.000590609562317148,0.0166036752704901,0.0153955873651468,"PKMYT1/CDC25C/BUB1/CDK1/PLK1/CCNB2/CCNB1/AURKA/CCNA2/KIF22/PIK3R2/MAD2L1/MAPK13/CDC25A/ANAPC11/SPDYC",16
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","15/548","100/9418",0.15,2.5779197080292,3.94283226639905,0.000624589665347591,0.0166036752704901,0.0153955873651468,"CCL11/CXCL10/CXCL11/CCR8/CXCL9/CCL7/CXCL13/CCR4/LTA/IL19/IL20/CCL20/IL24/CXCR5/CXCR3",15
