"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CPA1",-3.85538175966352,1.10884120561519,-37.6119905102242,1.07102750403521e-205,2.19881946578429e-201,460.012564074945
"NEK2",4.57338486462281,8.24624574731627,36.6281087439278,2.82941911061387e-198,2.90439871704514e-194,442.972138705954
"MYOC",-5.90865574533416,1.73605730800991,-35.9306008240707,5.24830142717155e-193,3.5915876099944e-189,430.875799258985
"CA4",-6.60404073230022,2.12206102394715,-35.6747279071463,4.50412463700915e-191,2.31174196994495e-187,426.436086586157
"GPAM",-3.65623395144652,9.13172427745665,-35.1602609223309,3.48641501266326e-187,1.43152200419953e-183,417.506969215463
"HSD17B13",-4.77336483151818,2.20885507844756,-34.8594125311147,6.55866818757118e-185,2.24415763151394e-181,412.284492051058
"LOC572558",-3.09367943434247,0.904842609413708,-34.7857433460033,2.36470904156773e-184,6.9353538033408e-181,411.00560830387
"MMP11",5.8215787922404,11.7669927332783,34.3411894827427,5.42867588507348e-181,1.39313394900698e-177,403.288284069546
"COL10A1",6.77424359976969,9.91480189925681,34.2051537454031,5.79534861861117e-180,1.32198341266764e-176,400.926887499666
"FIGF",-6.15555158246573,3.61267018992568,-33.8355773311694,3.60242204908646e-177,7.3957724667745e-174,394.512324728367
"PKMYT1",4.53486982440148,7.82500990916598,33.5113206124392,1.0160359055492e-174,1.89629246735682e-171,388.885778609875
"LRRC3B",-3.77151359369253,1.42117654830718,-33.4346001756753,3.85965535045341e-174,6.60322702873404e-171,387.55477211445
"MESTIT1",-3.3183627316925,1.53770156895128,-33.2883234758733,4.91539399604106e-173,7.76254144144022e-170,385.017368822102
"LYVE1",-5.0199964976251,5.6003397192403,-32.9248560833919,2.73113893807848e-170,4.00502017133937e-167,378.714558668585
"KIF4A",4.3020386148827,8.32924938067713,32.7885883854114,2.91739967546741e-169,3.9929476891564e-166,376.352467845197
"AQP7P3",-3.27961494426586,0.892092981007432,-32.2413683264772,3.91897662517071e-165,5.02853688217217e-162,366.872889520562
"GLYAT",-5.95131677541621,2.1633622625929,-32.2359915662961,4.30240005719275e-165,5.19578077495101e-162,366.779800969778
"ADRA1A",-3.81347419517344,1.56679669694467,-32.1227728265871,3.07047766528213e-164,3.50205035934679e-161,364.819900009274
"KIAA0101",3.54473032512914,7.83670644095789,31.6995550272411,4.73650666294063e-161,5.11792009421953e-158,357.498615771865
"CAV1",-3.38027764077468,10.5934440957886,-31.3026283144106,4.59359566649264e-158,4.71532595165469e-155,350.64014469737
"UHRF1",3.69052829407155,8.10196713459951,31.1566804835002,5.74632098971055e-157,5.61771285327417e-154,348.120508014276
"LHCGR",-2.91435670328967,0.67927828241123,-31.0620697814683,2.953791361536e-156,2.75642439328792e-153,346.487827510762
"APOB",-5.08295920612836,2.265239223782,-30.992254149072,9.88288931565773e-156,8.82155294132405e-153,345.283382871382
"TNS1",-2.85445553823027,11.600702807597,-30.9481457561711,2.11928120251855e-155,1.81286846198774e-152,344.52259146924
"AQP7P1",-5.2891410961314,2.45893336085879,-30.8425223697981,1.31619614454398e-154,1.08086027389951e-151,342.701282285875
"IQGAP3",3.99539841513538,8.7411289017341,30.7886284641754,3.34110783410899e-154,2.63819014747145e-151,341.772247761663
"GLRA4",-2.6814423051704,0.728545747316268,-30.7162585282619,1.16687050694198e-153,8.87253759537735e-151,340.525025336388
"MYOM1",-3.90141256377041,5.23332518579686,-30.5896361164776,1.03977618992697e-152,7.62378756400028e-150,338.343681015729
"ANGPT4",-2.97221439971853,1.30039521056978,-30.4431532135143,1.30386244801659e-151,9.23044691647609e-149,335.821615811763
"SPC25",3.20414088183083,6.58590189925681,30.4230898700712,1.84335346218638e-151,1.26146821928954e-148,335.476297597369
"ADH4",-3.37466651873531,1.02028051197358,-30.3201802967486,1.08822977388027e-150,7.2068894379877e-148,333.70555285555
"CDC25C",3.8042357394169,6.1008906688687,30.1553340232305,1.86721137443752e-149,1.19793279741257e-146,330.870768909617
"PPP1R12B",-2.24854242671401,9.91746036333609,-29.9436080470264,7.16708167420636e-148,4.45879353852898e-145,327.233008067178
"LOC283392",-5.39880923731389,2.19658554913295,-29.9231386464766,1.0195539902879e-147,6.15630688841489e-145,326.881510776339
"TRPM3",-2.4639505077644,0.903170520231214,-29.8766767042575,2.26876781621542e-147,1.33079437905436e-144,326.083805541145
"NAALAD2",-3.1340687209135,3.82426597853014,-29.7485796659652,2.0564022751647e-146,1.17272051969809e-143,323.885470611107
"FAM13A",-2.57494979769386,8.66543616845582,-29.6191405807391,1.90465046498611e-145,1.05682362286932e-142,321.665576829139
"PAFAH1B3",2.52972814134241,9.90392113955409,29.5981920435483,2.73027352030734e-145,1.47506619399762e-142,321.306449566847
"ASF1B",3.01094954341184,8.58400404624278,29.5791735320301,3.78593651462575e-145,1.99295581141709e-142,320.980444138862
"FHL1",-4.33477009947386,9.35204599504542,-29.5199632495488,1.04728867983516e-144,5.37520914925394e-142,319.965706056121
"AQPEP",-4.58446130035663,2.97237052023121,-29.4229990608584,5.53876793197535e-144,2.77343672301107e-141,318.304655007191
