"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CPA1",-3.85538175966352,1.10884120561519,-37.6119905102242,1.07102750403521e-205,2.19881946578429e-201,460.012564074945
"NEK2",4.57338486462281,8.24624574731627,36.6281087439278,2.82941911061387e-198,2.90439871704514e-194,442.972138705954
"MYOC",-5.90865574533416,1.73605730800991,-35.9306008240707,5.24830142717155e-193,3.5915876099944e-189,430.875799258985
"CA4",-6.60404073230022,2.12206102394715,-35.6747279071463,4.50412463700915e-191,2.31174196994495e-187,426.436086586157
"GPAM",-3.65623395144652,9.13172427745665,-35.1602609223309,3.48641501266326e-187,1.43152200419953e-183,417.506969215463
"HSD17B13",-4.77336483151818,2.20885507844756,-34.8594125311147,6.55866818757118e-185,2.24415763151394e-181,412.284492051058
"LOC572558",-3.09367943434247,0.904842609413708,-34.7857433460033,2.36470904156773e-184,6.9353538033408e-181,411.00560830387
"MMP11",5.8215787922404,11.7669927332783,34.3411894827427,5.42867588507348e-181,1.39313394900698e-177,403.288284069546
"COL10A1",6.77424359976969,9.91480189925681,34.2051537454031,5.79534861861117e-180,1.32198341266764e-176,400.926887499666
"FIGF",-6.15555158246573,3.61267018992568,-33.8355773311694,3.60242204908646e-177,7.3957724667745e-174,394.512324728367
"PKMYT1",4.53486982440148,7.82500990916598,33.5113206124392,1.0160359055492e-174,1.89629246735682e-171,388.885778609875
"LRRC3B",-3.77151359369253,1.42117654830718,-33.4346001756753,3.85965535045341e-174,6.60322702873404e-171,387.55477211445
"MESTIT1",-3.3183627316925,1.53770156895128,-33.2883234758733,4.91539399604106e-173,7.76254144144022e-170,385.017368822102
"LYVE1",-5.0199964976251,5.6003397192403,-32.9248560833919,2.73113893807848e-170,4.00502017133937e-167,378.714558668585
"KIF4A",4.3020386148827,8.32924938067713,32.7885883854114,2.91739967546741e-169,3.9929476891564e-166,376.352467845197
"AQP7P3",-3.27961494426586,0.892092981007432,-32.2413683264772,3.91897662517071e-165,5.02853688217217e-162,366.872889520562
"GLYAT",-5.95131677541621,2.1633622625929,-32.2359915662961,4.30240005719275e-165,5.19578077495101e-162,366.779800969778
"ADRA1A",-3.81347419517344,1.56679669694467,-32.1227728265871,3.07047766528213e-164,3.50205035934679e-161,364.819900009274
"KIAA0101",3.54473032512914,7.83670644095789,31.6995550272411,4.73650666294063e-161,5.11792009421953e-158,357.498615771865
"CAV1",-3.38027764077468,10.5934440957886,-31.3026283144106,4.59359566649264e-158,4.71532595165469e-155,350.64014469737
